symbol,sector,role,cg_id,okx_instid,audit_from,prev_label,note
THETA,smart_contract_platform,FACTOR,theta-token,THETA-USDT-SWAP,media_content,ai_infrastructure,"reaudit 2026-06-17: media_content->ai_infrastructure (economics-first, adversarial) | dissolve ai_infra 2026-06-20: sovereign EVM L1; EdgeCloud fees in TFUEL not THETA -> THETA is L1 security asset"
VANA,smart_contract_platform,FACTOR,,VANA-USDT-SWAP,,ai_infrastructure,"promoted: AI inference/agent/data fees | dissolve ai_infra 2026-06-20: sovereign EVM L1; VANA=gas/staking, Data DAOs are third-party contracts"
XPL,smart_contract_platform,FACTOR,plasma-finance,XPL-USDT-SWAP,,smart_contract_platform,
XTZ,smart_contract_platform,FACTOR,tezos,XTZ-USDT-SWAP,,smart_contract_platform,
ZETA,smart_contract_platform,FACTOR,,ZETA-USDT-SWAP,,(new),
ZIL,smart_contract_platform,FACTOR,,ZIL-USDT-SWAP,,(new),
BCH,value_transfer,FACTOR,bitcoin-cash,BCH-USDT-SWAP,,value_transfer,
BTC,value_transfer,FACTOR,bitcoin,BTC-USDT-SWAP,,value_transfer,
LTC,value_transfer,FACTOR,litecoin,LTC-USDT-SWAP,,value_transfer,
RVN,value_transfer,FACTOR,,RVN-USDT-SWAP,,(new),
TRX,value_transfer,FACTOR,tron,TRX-USDT-SWAP,captive_franchise,tron_ecosystem,"tron_ecosystem singleton on OKX -> captive_franchise (USDT settlement franchise) | reaudit 2026-06-17: captive_franchise->value_transfer (economics-first, adversarial)"
XLM,value_transfer,FACTOR,stellar,XLM-USDT-SWAP,,value_transfer,
XRP,value_transfer,FACTOR,ripple,XRP-USDT-SWAP,,value_transfer,
